time,symbol,volume,open,high,low,last,change,percent,turnover_rate
2017-07-05,600519.SH,3754032,428.5911,435.5165,428.5911,435.3273,7.7813,1.82,0.3
2017-07-06,600519.SH,4204439,433.4162,435.3935,426.311,431.401,-3.9179,-0.9,0.33
2017-07-07,600519.SH,3779647,433.1805,433.2285,423.7207,428.3017,-3.1061,-0.72,0.3
2017-07-10,600519.SH,3662409,429.1757,436.8779,425.4206,436.465,8.1802,1.91,0.29
2017-07-11,600519.SH,4460182,436.4938,446.1744,436.0136,444.7819,8.3361,1.91,0.36
2017-07-12,600519.SH,2895072,447.3461,447.5286,436.974,439.3461,-5.4262,-1.22,0.23
2017-07-13,600519.SH,2595135,437.3101,443.6102,435.7063,438.088,-1.2742,-0.29,0.21
2017-07-14,600519.SH,1772657,438.1745,440.585,435.1012,438.3281,0.2191,0.05,0.14
2017-07-17,600519.SH,3526368,438.9332,439.8935,428.5995,432.2393,-6.0928,-1.39,0.28
2017-07-18,600519.SH,3068449,434.0832,436.004,430.2513,434.621,2.3773,0.55,0.24
2017-07-19,600519.SH,5625994,436.0136,445.2525,434.8611,438.7603,4.129,0.95,0.45
2017-07-20,600519.SH,4663487,437.7999,448.3929,437.7999,447.9896,9.2143,2.1,0.37
2017-07-21,600519.SH,4679241,448.4602,456.1912,445.2909,454.4529,6.4512,1.44,0.37
2017-07-24,600519.SH,4271643,456.0664,466.1216,456.0664,458.8707,4.4083,0.97,0.34
2017-07-25,600519.SH,2192999,463.0964,463.6726,457.2381,459.0244,0.1377,0.03,0.17
2017-07-26,600519.SH,3147018,459.1108,462.549,448.076,452.9451,-6.0589,-1.32,0.25
2017-07-27,600519.SH,1959503,452.9451,456.998,452.4361,455.0964,2.1289,0.47,0.16
2017-07-28,600519.SH,4661877,452.3401,464.8923,449.1804,464.7482,9.6481,2.12,0.37
2017-07-31,600519.SH,3841218,464.8251,468.6282,461.9439,462.1552,-2.6026,-0.56,0.31
2017-08-01,600519.SH,2750154,461.9439,463.8647,458.4866,461.214,-0.9243,-0.2,0.22
2017-08-02,600519.SH,2677422,461.022,465.6702,459.5526,463.711,2.4906,0.54,0.21
2017-08-03,600519.SH,3176839,464.5178,467.5622,456.7867,458.3137,-5.3788,-1.16,0.25
